dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_FB2	zi_kendall	HIPPIE	20000	195	69.86	70	7.91242470084011	2.78571428571429	15.8156323417161
GSE98816_FB2	zi_kendall	HIPPIE	50000	365	165.13	163	13.2654750492709	2.23926380368098	15.0669312073363
GSE98816_FB2	zi_kendall	HIPPIE	1e+05	610	333.79	334	16.5195293057898	1.82634730538922	16.7202100548466
GSE98816_FB2	zi_kendall	Reactome	20000	297	106.59	107	8.40646095920191	2.77570093457944	22.6504352930555
GSE98816_FB2	zi_kendall	Reactome	50000	595	261.87	261.5	15.2756854398278	2.27533460803059	21.8078593796807
GSE98816_FB2	zi_kendall	Reactome	1e+05	1035	511.93	512	20.0697042903733	2.021484375	26.0626660179989
GSE98816_FB2	zi_kendall	STRING	20000	116	23.41	23	4.61682255507514	5.04347826086957	20.0549184846228
GSE98816_FB2	zi_kendall	STRING	50000	217	57.27	56	6.92361644276058	3.875	23.0703132272753
GSE98816_FB2	zi_kendall	STRING	1e+05	335	115.6	115	8.98483570953152	2.91304347826087	24.4189217357921
GSE98816_FB2	zi_kendall	OmniPath	20000	148	16.08	16	3.75695987132515	9.25	35.1134972206848
GSE98816_FB2	zi_kendall	OmniPath	50000	209	32.93	32	5.50345162584171	6.53125	31.9926496988281
GSE98816_FB2	zi_kendall	OmniPath	1e+05	293	65.19	65	7.55678168898305	4.50769230769231	30.1464312952327
