dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_PC	jaccard	HIPPIE	20000	104	95.95	95	8.62035997279731	1.09473684210526	0.933835712824388
GSE98816_PC	jaccard	HIPPIE	50000	297	250.65	251	13.8515761419472	1.18326693227092	3.3461895978492
GSE98816_PC	jaccard	HIPPIE	1e+05	604	471.68	471	20.5612561028078	1.28237791932059	6.43540449758468
GSE98816_PC	jaccard	Reactome	20000	237	127.4	128	8.7973825308406	1.8515625	12.4582510327112
GSE98816_PC	jaccard	Reactome	50000	545	293.55	294	14.1588213570983	1.85374149659864	17.7592465967473
GSE98816_PC	jaccard	Reactome	1e+05	997	561.23	562	19.6894346892906	1.77402135231317	22.1321742790829
GSE98816_PC	jaccard	STRING	20000	127	48.6	49	6.56436661764934	2.59183673469388	11.9432695592
GSE98816_PC	jaccard	STRING	50000	265	109.36	110	8.73344899298847	2.40909090909091	17.8211380320597
GSE98816_PC	jaccard	STRING	1e+05	456	196.32	197.5	12.6841028317522	2.30886075949367	20.4728709191746
GSE98816_PC	jaccard	OmniPath	20000	22	15.23	15	4.40352246514198	1.46666666666667	1.53740557782796
GSE98816_PC	jaccard	OmniPath	50000	68	43.84	44	6.37342969370543	1.54545454545455	3.79073766575963
GSE98816_PC	jaccard	OmniPath	1e+05	159	90.78	90.5	9.49596405497269	1.75690607734807	7.18410470017267
