dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_aEC	MI	HIPPIE	20000	52	45.3	45	6.67348136547586	1.15555555555556	1.00397373320938
GSE98816_aEC	MI	HIPPIE	50000	123	108.61	108.5	10.0109990016032	1.13364055299539	1.43741898263055
GSE98816_aEC	MI	HIPPIE	1e+05	245	219.49	220	15.5618641608779	1.11363636363636	1.6392637627651
GSE98816_aEC	MI	Reactome	20000	71	39.08	38	6.52838402514726	1.86842105263158	4.88941825067957
GSE98816_aEC	MI	Reactome	50000	194	98.64	97	9.4050491489917	2	10.1392346269901
GSE98816_aEC	MI	Reactome	1e+05	350	204.54	202.5	14.3508842510794	1.72839506172839	10.1359607850686
GSE98816_aEC	MI	STRING	20000	45	14.31	14	3.47485920069382	3.21428571428571	8.83201252985221
GSE98816_aEC	MI	STRING	50000	78	32.21	32.5	5.33578542115461	2.4	8.5816794315712
GSE98816_aEC	MI	STRING	1e+05	138	65.72	65	7.57598545111826	2.12307692307692	9.54067302087163
GSE98816_aEC	MI	OmniPath	20000	14	8.42	8	2.55911916664522	1.75	2.18043773526768
GSE98816_aEC	MI	OmniPath	50000	25	19.51	19	4.13043642373358	1.31578947368421	1.32915736662943
GSE98816_aEC	MI	OmniPath	1e+05	47	36.71	37	5.44447639652549	1.27027027027027	1.88998890812839
