dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_aEC	binomial	HIPPIE	20000	22	14.4	14	3.77658923668252	1.57142857142857	2.01239783405094
GSE98816_aEC	binomial	HIPPIE	50000	53	38.76	39	6.32155204060049	1.35897435897436	2.25261136957236
GSE98816_aEC	binomial	HIPPIE	1e+05	99	82.65	83	8.49762295936905	1.19277108433735	1.92406748077394
GSE98816_aEC	binomial	Reactome	20000	56	26.8	27	4.5924839782964	2.07407407407407	6.35821488719311
GSE98816_aEC	binomial	Reactome	50000	120	64.13	65	7.15012891033046	1.84615384615385	7.8138451349149
GSE98816_aEC	binomial	Reactome	1e+05	215	119.4	118.5	10.2188180541706	1.81434599156118	9.35528937820584
GSE98816_aEC	binomial	STRING	20000	39	14.38	14	3.67294228793553	2.78571428571429	6.7030729235439
GSE98816_aEC	binomial	STRING	50000	56	29.83	29.5	5.14055965195946	1.89830508474576	5.09088538443954
GSE98816_aEC	binomial	STRING	1e+05	101	57.48	57	6.49083269626549	1.7719298245614	6.70484081727131
GSE98816_aEC	binomial	OmniPath	20000	11	2.74	2	1.74437045458477	5.5	4.73523268998855
GSE98816_aEC	binomial	OmniPath	50000	20	6.99	7	2.84443458015966	2.85714285714286	4.57384398669128
GSE98816_aEC	binomial	OmniPath	1e+05	32	15.52	15	4.4912485047382	2.13333333333333	3.66935830484861
