dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_aSMC	pearson	HIPPIE	20000	19	14.13	14	3.76494999765581	1.35714285714286	1.29350987477449
GSE98816_aSMC	pearson	HIPPIE	50000	47	40.32	40.5	6.69068401026775	1.16049382716049	0.998403151269533
GSE98816_aSMC	pearson	HIPPIE	1e+05	104	87.25	86	9.40274513967151	1.2093023255814	1.78139466200454
GSE98816_aSMC	pearson	Reactome	20000	57	26.97	27	4.90403873961003	2.11111111111111	6.12352422044447
GSE98816_aSMC	pearson	Reactome	50000	120	62.56	62	7.4472149224398	1.93548387096774	7.7129504919917
GSE98816_aSMC	pearson	Reactome	1e+05	226	126.21	127	10.2811929897716	1.77952755905512	9.70607205790975
GSE98816_aSMC	pearson	STRING	20000	24	10.84	10	3.02755026482808	2.4	4.34674864126402
GSE98816_aSMC	pearson	STRING	50000	49	27.81	28	4.97000091457829	1.75	4.26358070435043
GSE98816_aSMC	pearson	STRING	1e+05	105	55.84	55	7.0060868197056	1.90909090909091	7.01675575325881
GSE98816_aSMC	pearson	OmniPath	20000	11	4.5	4.5	1.78941895653874	2.44444444444444	3.63246403322612
GSE98816_aSMC	pearson	OmniPath	50000	19	9.93	10	3.20433733832407	1.9	2.83053843661285
GSE98816_aSMC	pearson	OmniPath	1e+05	36	20.2	20	4.35774012418122	1.8	3.62573250119376
