dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_vEC	manhattan	HIPPIE	20000	34	9.5	9	2.84800124843918	3.77777777777778	8.6025243189156
GSE98816_vEC	manhattan	HIPPIE	50000	50	24.58	24	4.81827329815958	2.08333333333333	5.27574888906979
GSE98816_vEC	manhattan	HIPPIE	1e+05	81	48.54	48.5	6.39668474739656	1.67010309278351	5.07450363459153
GSE98816_vEC	manhattan	Reactome	20000	91	34.84	35	5.50063357232326	2.6	10.2097329810464
GSE98816_vEC	manhattan	Reactome	50000	183	88.09	88	8.078022310222	2.07954545454545	11.7491628959603
GSE98816_vEC	manhattan	Reactome	1e+05	303	158.38	159	11.4678117821451	1.90566037735849	12.6109499133188
GSE98816_vEC	manhattan	STRING	20000	52	12.16	12	3.19317453897585	4.33333333333333	12.4766120716902
GSE98816_vEC	manhattan	STRING	50000	88	32.36	33	5.1942470118586	2.66666666666667	10.7118509907158
GSE98816_vEC	manhattan	STRING	1e+05	126	60.76	60.5	8.07805357093833	2.08264462809917	8.0762029401127
GSE98816_vEC	manhattan	OmniPath	20000	12	1.39	1	1.17975344111309	12	8.99340457951071
GSE98816_vEC	manhattan	OmniPath	50000	16	4.6	4	2.15087485137156	4	5.30016890230992
GSE98816_vEC	manhattan	OmniPath	1e+05	21	7.35	7	2.8617117149346	3	4.76987249580866
