dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_vEC	spearman	HIPPIE	20000	143	32.51	32	5.72694323246519	4.46875	19.2930147052355
GSE98816_vEC	spearman	HIPPIE	50000	209	71.61	70	9.23420846963106	2.98571428571429	14.878373219734
GSE98816_vEC	spearman	HIPPIE	1e+05	308	140.61	141.5	12.9987528539309	2.17667844522968	12.877389229643
GSE98816_vEC	spearman	Reactome	20000	214	47.32	48	5.92525837990943	4.45833333333333	28.1304188464011
GSE98816_vEC	spearman	Reactome	50000	334	104.36	103	9.14255230372037	3.24271844660194	25.1177124692579
GSE98816_vEC	spearman	Reactome	1e+05	484	201.77	202.5	12.5447522128103	2.39012345679012	22.4978537010716
GSE98816_vEC	spearman	STRING	20000	131	19.77	20	4.35740400892202	6.55	25.5266667429163
GSE98816_vEC	spearman	STRING	50000	171	41.68	41.5	5.97956114737123	4.12048192771084	21.6270051953315
GSE98816_vEC	spearman	STRING	1e+05	234	76.39	76	8.75698278374164	3.07894736842105	17.9982082747292
GSE98816_vEC	spearman	OmniPath	20000	135	8.27	8	2.69250737410243	16.875	47.0676519659474
GSE98816_vEC	spearman	OmniPath	50000	180	15.6	16	3.70912061782517	11.25	44.3231743960905
GSE98816_vEC	spearman	OmniPath	1e+05	210	27.66	28	4.97309935268914	7.5	36.6652638663657
