dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_vSMC	manhattan	HIPPIE	20000	38	12.07	12	3.6216381136528	3.16666666666667	7.15974351557916
GSE98816_vSMC	manhattan	HIPPIE	50000	64	33.54	33	5.64151279947734	1.93939393939394	5.39926099304817
GSE98816_vSMC	manhattan	HIPPIE	1e+05	114	69.31	69	8.23357869834364	1.65217391304348	5.42777346732476
GSE98816_vSMC	manhattan	Reactome	20000	104	38.19	39	6.15243238422205	2.66666666666667	10.6965824067844
GSE98816_vSMC	manhattan	Reactome	50000	207	97.1	97	9.08156085013735	2.1340206185567	12.1014439933349
GSE98816_vSMC	manhattan	Reactome	1e+05	365	179.85	178.5	12.3871675209436	2.04481792717087	14.9469198415988
GSE98816_vSMC	manhattan	STRING	20000	64	18.93	19	4.13718051651878	3.36842105263158	10.89389254833
GSE98816_vSMC	manhattan	STRING	50000	98	38.08	38.5	6.04809010675221	2.54545454545455	9.90725980307471
GSE98816_vSMC	manhattan	STRING	1e+05	145	64.35	65	7.82688322450904	2.23076923076923	10.3042293703135
GSE98816_vSMC	manhattan	OmniPath	20000	20	2.56	2	1.76566581140819	10	9.877293815918
GSE98816_vSMC	manhattan	OmniPath	50000	32	6.96	7	2.60116524005312	4.57142857142857	9.62645494966273
GSE98816_vSMC	manhattan	OmniPath	1e+05	55	15.36	15	3.65844808959242	3.66666666666667	10.8351954241932
