dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE98816_vSMC	zi_kendall	HIPPIE	20000	134	90.97	91	10.58343951271	1.47252747252747	4.06578598085469
GSE98816_vSMC	zi_kendall	HIPPIE	50000	291	216.05	217	14.1880409165785	1.34101382488479	5.28261797669488
GSE98816_vSMC	zi_kendall	HIPPIE	1e+05	563	423.1	423.5	20.2880768089551	1.32939787485242	6.89567578619619
GSE98816_vSMC	zi_kendall	Reactome	20000	239	84.28	83	8.6094615559179	2.87951807228916	17.9709264040618
GSE98816_vSMC	zi_kendall	Reactome	50000	513	224.34	224	13.7254611153244	2.29017857142857	21.0309874163508
GSE98816_vSMC	zi_kendall	Reactome	1e+05	942	461.81	461	18.8002229731028	2.04338394793926	25.5417183448834
GSE98816_vSMC	zi_kendall	STRING	20000	81	28.43	28	5.26136096384949	2.89285714285714	9.99171133879722
GSE98816_vSMC	zi_kendall	STRING	50000	201	71.69	72	8.06124911994024	2.79166666666667	16.0409383305299
GSE98816_vSMC	zi_kendall	STRING	1e+05	357	147.41	148	10.820010455754	2.41216216216216	19.3705912630187
GSE98816_vSMC	zi_kendall	OmniPath	20000	62	19.01	18	3.66665289253611	3.44444444444444	11.7245894989163
GSE98816_vSMC	zi_kendall	OmniPath	50000	126	47.04	46.5	5.97117655868167	2.70967741935484	13.223524580796
GSE98816_vSMC	zi_kendall	OmniPath	1e+05	204	93.95	94	8.44874624611919	2.17021276595745	13.0256012897239
