dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSE99058	canberra	HIPPIE	20000	48	34.88	34	5.03980118254639	1.41176470588235	2.60327729701652
GSE99058	canberra	HIPPIE	50000	143	100.51	100	9.24361095213031	1.43	4.59668848246016
GSE99058	canberra	HIPPIE	1e+05	314	214.69	214.5	14.1718849569252	1.46386946386946	7.00753642171441
GSE99058	canberra	Reactome	20000	115	53.46	54	6.07598352183214	2.12962962962963	10.1284013985349
GSE99058	canberra	Reactome	50000	293	142.96	143	9.16836898793836	2.04895104895105	16.3649608995219
GSE99058	canberra	Reactome	1e+05	567	289.55	290	13.3676641356837	1.9551724137931	20.7553090191258
GSE99058	canberra	STRING	20000	82	28.73	29	4.89249063836249	2.82758620689655	10.8881148555104
GSE99058	canberra	STRING	50000	178	61.12	62	7.50121875619441	2.87096774193548	15.5814679985812
GSE99058	canberra	STRING	1e+05	306	121.83	122	9.95652671579925	2.50819672131148	18.4974143350366
GSE99058	canberra	OmniPath	20000	7	4.48	4	2.12954208574273	1.75	1.1833529925853
GSE99058	canberra	OmniPath	50000	23	13.08	13	3.66164945996702	1.76923076923077	2.70916157006721
GSE99058	canberra	OmniPath	1e+05	50	28.97	28	5.53675505740109	1.78571428571429	3.79825363086792
