dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSM1676569	pearson	HIPPIE	20000	7	13.79	14	3.65782680969137	0.5	-1.85629346419846
GSM1676569	pearson	HIPPIE	50000	18	32.92	33	5.18872125699852	0.545454545454545	-2.87546762699499
GSM1676569	pearson	HIPPIE	1e+05	38	61.17	61	7.53852730574042	0.622950819672131	-3.07354461425862
GSM1676569	pearson	Reactome	20000	134	73.55	74	8.68456775963647	1.81081081081081	6.96062275902266
GSM1676569	pearson	Reactome	50000	290	177.27	177	13.4200626231058	1.63841807909605	8.40010983301292
GSM1676569	pearson	Reactome	1e+05	488	330.59	332	17.938218890673	1.46987951807229	8.77511869820285
GSM1676569	pearson	STRING	20000	9	15.7	16	4.28410263106935	0.5625	-1.56392145029626
GSM1676569	pearson	STRING	50000	29	44.02	43.5	6.81350411930883	0.666666666666667	-2.20444572087874
GSM1676569	pearson	STRING	1e+05	57	85.65	85	10.0557787798204	0.670588235294118	-2.84910802308955
GSM1676569	pearson	OmniPath	20000	0	2.02	2	1.48378440536897	0	-1.36138376484533
GSM1676569	pearson	OmniPath	50000	5	5.52	5	2.548439807911	1	-0.20404641239153
GSM1676569	pearson	OmniPath	1e+05	8	10.47	11	3.18600157887689	0.727272727272727	-0.775266408019392
