dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
GSM1676569	weighted_rank	HIPPIE	20000	1610	833.26	834.5	25.3602807236797	1.929298981426	30.6282098555295
GSM1676569	weighted_rank	HIPPIE	50000	2093	1627.6	1627	34.7699510346146	1.28641671788568	13.3851209493128
GSM1676569	weighted_rank	HIPPIE	1e+05	2711	2686.71	2685	42.383362230236	1.0096834264432	0.573102243943064
GSM1676569	weighted_rank	Reactome	20000	4663	972.23	970	25.7092739624589	4.80721649484536	143.557924093435
GSM1676569	weighted_rank	Reactome	50000	6741	1915.62	1920.5	36.5786215644542	3.51002343139807	131.918038286307
GSM1676569	weighted_rank	Reactome	1e+05	9333	3196.37	3198	45.6700186781285	2.91838649155722	134.368896217221
GSM1676569	weighted_rank	STRING	20000	704	168.03	168.5	12.5065275885528	4.17804154302671	42.8552207001544
GSM1676569	weighted_rank	STRING	50000	912	371.34	370	16.2388858651514	2.46486486486487	33.294156045536
GSM1676569	weighted_rank	STRING	1e+05	1104	629.04	630	19.5943302457057	1.75238095238095	24.2396649461439
GSM1676569	weighted_rank	OmniPath	20000	1457	368.17	368	18.0033975469166	3.95923913043478	60.4791399602505
GSM1676569	weighted_rank	OmniPath	50000	1491	514.58	513.5	21.1006151473354	2.90360272638754	46.2744803022154
GSM1676569	weighted_rank	OmniPath	1e+05	1529	685.4	685	23.6664532640827	2.23211678832117	35.6453918374109
