dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Microglia-expression.csv.gz	canberra	HIPPIE	20000	488	98.44	98.5	9.913076762998	4.95431472081218	39.2975873498821
Microglia-expression.csv.gz	canberra	HIPPIE	50000	665	228.77	228.5	14.9908086317698	2.91028446389497	29.099831150903
Microglia-expression.csv.gz	canberra	HIPPIE	1e+05	888	397.33	395	18.6569536417905	2.24810126582278	26.2995775956117
Microglia-expression.csv.gz	canberra	Reactome	20000	804	157.65	157	13.5231750201742	5.12101910828025	47.7957283726463
Microglia-expression.csv.gz	canberra	Reactome	50000	1307	417.97	417	18.5600064219773	3.13429256594724	47.9003067017952
Microglia-expression.csv.gz	canberra	Reactome	1e+05	1990	808.67	808	26.106253362872	2.46287128712871	45.2508440632877
Microglia-expression.csv.gz	canberra	STRING	20000	278	37.95	38	5.85234995535981	7.31578947368421	41.0177111469817
Microglia-expression.csv.gz	canberra	STRING	50000	402	87.78	87.5	8.5109317701389	4.59428571428571	36.9195769025501
Microglia-expression.csv.gz	canberra	STRING	1e+05	557	161.35	161	11.9682872203962	3.45962732919255	33.0581972770288
Microglia-expression.csv.gz	canberra	OmniPath	20000	472	32.17	32	4.94628725164214	14.75	88.9212408466529
Microglia-expression.csv.gz	canberra	OmniPath	50000	518	64.02	65	7.32503662899795	7.96923076923077	61.9764818926378
Microglia-expression.csv.gz	canberra	OmniPath	1e+05	568	97.42	97.5	9.22138489566179	5.82564102564103	51.0313803538756
