dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Microglia-expression.csv.gz	euclidean	HIPPIE	20000	60	55.72	55	6.88884327127288	1.09090909090909	0.621294436737732
Microglia-expression.csv.gz	euclidean	HIPPIE	50000	155	148.28	149.5	11.3849803591301	1.03678929765886	0.590251347654803
Microglia-expression.csv.gz	euclidean	HIPPIE	1e+05	364	298.72	298	15.2282830962852	1.22147651006711	4.28676033846024
Microglia-expression.csv.gz	euclidean	Reactome	20000	117	77.45	77	7.72033259345317	1.51948051948052	5.12283629251133
Microglia-expression.csv.gz	euclidean	Reactome	50000	275	183.16	184	12.2628782028601	1.4945652173913	7.4892695239018
Microglia-expression.csv.gz	euclidean	Reactome	1e+05	510	349.51	348.5	16.131088624207	1.46341463414634	9.94911154100052
Microglia-expression.csv.gz	euclidean	STRING	20000	19	9.47	9	3.17965438691095	2.11111111111111	2.99718108962731
Microglia-expression.csv.gz	euclidean	STRING	50000	57	30.44	30	4.62387305407512	1.9	5.7441023335604
Microglia-expression.csv.gz	euclidean	STRING	1e+05	111	64.45	65	6.92145690274567	1.70769230769231	6.72546266690386
Microglia-expression.csv.gz	euclidean	OmniPath	20000	8	7.29	7	2.77905223289008	1.14285714285714	0.255482783517759
Microglia-expression.csv.gz	euclidean	OmniPath	50000	28	21.94	21	4.23267711449333	1.33333333333333	1.43171799692673
Microglia-expression.csv.gz	euclidean	OmniPath	1e+05	61	43.43	44	5.40530042895607	1.38636363636364	3.25051312705542
