dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Microglia-expression.csv.gz	phi_s	HIPPIE	20000	342	69.29	68.5	8.2526946930666	4.99270072992701	33.0449641168858
Microglia-expression.csv.gz	phi_s	HIPPIE	50000	469	152.87	153	11.7599345493953	3.06535947712418	26.8819523333364
Microglia-expression.csv.gz	phi_s	HIPPIE	1e+05	681	285.53	283.5	15.4013347184947	2.4021164021164	25.6776446475836
Microglia-expression.csv.gz	phi_s	Reactome	20000	608	79.19	78	8.39515853743614	7.79487179487179	62.9898765630098
Microglia-expression.csv.gz	phi_s	Reactome	50000	839	183.85	183.5	11.1675711981006	4.57220708446866	58.6653971914169
Microglia-expression.csv.gz	phi_s	Reactome	1e+05	1088	330.4	330	14.762770537382	3.2969696969697	51.318280541015
Microglia-expression.csv.gz	phi_s	STRING	20000	185	9.48	9	2.97287399631733	20.5555555555556	59.0405110399655
Microglia-expression.csv.gz	phi_s	STRING	50000	249	25.46	25	5.26551579293582	9.96	42.4535807678898
Microglia-expression.csv.gz	phi_s	STRING	1e+05	334	54.37	54.5	6.70090450701405	6.12844036697248	41.7301872765538
Microglia-expression.csv.gz	phi_s	OmniPath	20000	411	16.66	17	3.36416048332653	24.1764705882353	117.217951389189
Microglia-expression.csv.gz	phi_s	OmniPath	50000	455	29.1	29	4.6785562825394	15.6896551724138	91.0323557695521
Microglia-expression.csv.gz	phi_s	OmniPath	1e+05	507	49.03	49	5.96869780901609	10.3469387755102	76.7286290333224
