dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Pericytes-expression.csv.gz	hamming	HIPPIE	20000	476	103.47	103.5	9.85291322350395	4.59903381642512	37.8091221905148
Pericytes-expression.csv.gz	hamming	HIPPIE	50000	635	223.86	224	12.9724027197444	2.83482142857143	31.6934348156053
Pericytes-expression.csv.gz	hamming	HIPPIE	1e+05	804	350.65	353.5	16.4214536936942	2.27439886845827	27.6071782959195
Pericytes-expression.csv.gz	hamming	Reactome	20000	640	76.55	77	8.00173592277187	8.31168831168831	70.4159704141818
Pericytes-expression.csv.gz	hamming	Reactome	50000	883	213.99	214.5	13.10909546225	4.11655011655012	51.0340322050849
Pericytes-expression.csv.gz	hamming	Reactome	1e+05	1163	387.73	387	19.9523953651706	3.00516795865633	38.8559862518227
Pericytes-expression.csv.gz	hamming	STRING	20000	266	36.28	36	5.35993366459781	7.38888888888889	42.8587393753198
Pericytes-expression.csv.gz	hamming	STRING	50000	394	93.78	95	8.29455218559724	4.14736842105263	36.1948412985219
Pericytes-expression.csv.gz	hamming	STRING	1e+05	481	151.54	151	11.4727784980207	3.18543046357616	28.7166705133232
Pericytes-expression.csv.gz	hamming	OmniPath	20000	475	29.73	30	5.04696128198129	15.8333333333333	88.225364753581
Pericytes-expression.csv.gz	hamming	OmniPath	50000	498	66.36	67	6.85568406801276	7.43283582089552	62.9608943057842
Pericytes-expression.csv.gz	hamming	OmniPath	1e+05	541	99.31	100	9.28090795802073	5.41	47.5912488301625
