dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Pericytes-expression.csv.gz	rho_p	HIPPIE	20000	447	67.41	67	7.75130487548563	6.67164179104478	48.9711095225394
Pericytes-expression.csv.gz	rho_p	HIPPIE	50000	513	122.61	122	12.076268572132	4.20491803278689	32.3270385772051
Pericytes-expression.csv.gz	rho_p	HIPPIE	1e+05	615	215.46	218.5	14.8347258454307	2.81464530892449	26.9327525269409
Pericytes-expression.csv.gz	rho_p	Reactome	20000	633	58.79	59	6.38067632018976	10.728813559322	89.9920276762955
Pericytes-expression.csv.gz	rho_p	Reactome	50000	774	136.77	136.5	10.7579944434102	5.67032967032967	59.2331594287386
Pericytes-expression.csv.gz	rho_p	Reactome	1e+05	997	275.18	273	16.3196479462919	3.65201465201465	44.2301207952228
Pericytes-expression.csv.gz	rho_p	STRING	20000	246	21.09	21.5	4.07032870387341	11.4418604651163	55.2559796426198
Pericytes-expression.csv.gz	rho_p	STRING	50000	308	45.61	45	5.83250210527873	6.84444444444444	44.9875534142582
Pericytes-expression.csv.gz	rho_p	STRING	1e+05	375	88.87	89	8.63122707429719	4.21348314606742	33.1505587255447
Pericytes-expression.csv.gz	rho_p	OmniPath	20000	474	26.7	27	4.53605087887664	17.5555555555556	98.6100050338885
Pericytes-expression.csv.gz	rho_p	OmniPath	50000	507	42.97	43	6.2691403886116	11.7906976744186	74.0181222999804
Pericytes-expression.csv.gz	rho_p	OmniPath	1e+05	540	68.62	69.5	7.75610544778575	7.76978417266187	60.7753470054449
