dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Schwann_cells-expression.csv.gz	bicor	HIPPIE	20000	133	57.1	57	7.1949758003538	2.33333333333333	10.5490278363782
Schwann_cells-expression.csv.gz	bicor	HIPPIE	50000	294	144.61	145	11.0936281647884	2.02758620689655	13.4662887362829
Schwann_cells-expression.csv.gz	bicor	HIPPIE	1e+05	496	280.26	280	16.4983133511988	1.77142857142857	13.0764882086765
Schwann_cells-expression.csv.gz	bicor	Reactome	20000	210	86.37	88	8.64993139460153	2.38636363636364	14.2925989074501
Schwann_cells-expression.csv.gz	bicor	Reactome	50000	477	217.66	217	11.5314414282925	2.19815668202765	22.4898163523344
Schwann_cells-expression.csv.gz	bicor	Reactome	1e+05	848	420.56	420	17.8197030890478	2.01904761904762	23.9869316488618
Schwann_cells-expression.csv.gz	bicor	STRING	20000	88	19.7	19.5	4.38892085399432	4.51282051282051	15.5619119761161
Schwann_cells-expression.csv.gz	bicor	STRING	50000	162	49.88	50	6.67163451267432	3.24	16.8054769467665
Schwann_cells-expression.csv.gz	bicor	STRING	1e+05	270	104.17	105	10.7928661437062	2.57142857142857	15.364778715124
Schwann_cells-expression.csv.gz	bicor	OmniPath	20000	95	9.59	10	2.91320573883268	9.5	29.318217680782
Schwann_cells-expression.csv.gz	bicor	OmniPath	50000	172	24.49	25	4.04643501907993	6.88	36.4543108450907
Schwann_cells-expression.csv.gz	bicor	OmniPath	1e+05	253	44.65	45	6.26901148910297	5.62222222222222	33.2349047951438
