dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Schwann_cells-expression.csv.gz	canberra	HIPPIE	20000	311	117.71	116.5	10.5383331056892	2.66952789699571	18.3416103914623
Schwann_cells-expression.csv.gz	canberra	HIPPIE	50000	511	237.14	236.5	13.4944956979286	2.16067653276956	20.2942004006891
Schwann_cells-expression.csv.gz	canberra	HIPPIE	1e+05	773	412.5	410.5	19.0880469234947	1.88306942752741	18.8861648048589
Schwann_cells-expression.csv.gz	canberra	Reactome	20000	388	102.31	101	9.42669216918243	3.84158415841584	30.3064950963364
Schwann_cells-expression.csv.gz	canberra	Reactome	50000	701	245.09	245	15.5258630756047	2.86122448979592	29.3645511222083
Schwann_cells-expression.csv.gz	canberra	Reactome	1e+05	1154	479.29	479.5	19.1339219632821	2.40667361835245	35.2625040122336
Schwann_cells-expression.csv.gz	canberra	STRING	20000	157	36.04	36	5.62447752904636	4.36111111111111	21.5059975571649
Schwann_cells-expression.csv.gz	canberra	STRING	50000	272	83.44	83	8.62732328539432	3.27710843373494	21.856141674814
Schwann_cells-expression.csv.gz	canberra	STRING	1e+05	426	155.85	157	11.6544308130323	2.71337579617834	23.1800252053417
Schwann_cells-expression.csv.gz	canberra	OmniPath	20000	224	24.6	25	4.72474679990709	8.96	42.2033197639122
Schwann_cells-expression.csv.gz	canberra	OmniPath	50000	323	42.87	43	5.6383517184555	7.51162790697674	49.6829594867372
Schwann_cells-expression.csv.gz	canberra	OmniPath	1e+05	423	72.69	72	7.32602252662426	5.875	47.8172157848139
