dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Schwann_cells-expression.csv.gz	kendall	HIPPIE	20000	116	53.94	54	6.73723259434488	2.14814814814815	9.21149732192594
Schwann_cells-expression.csv.gz	kendall	HIPPIE	50000	254	134.01	133	12.0130358487366	1.90977443609023	9.98831615179267
Schwann_cells-expression.csv.gz	kendall	HIPPIE	1e+05	479	269.66	268	14.9086240380214	1.78731343283582	14.0415372650166
Schwann_cells-expression.csv.gz	kendall	Reactome	20000	213	86.78	87	7.95007146908984	2.44827586206897	15.876586832049
Schwann_cells-expression.csv.gz	kendall	Reactome	50000	469	206.66	207	11.4373303376498	2.26570048309179	22.9371708480273
Schwann_cells-expression.csv.gz	kendall	Reactome	1e+05	836	404.68	404	14.6734694967041	2.06930693069307	29.3945477650586
Schwann_cells-expression.csv.gz	kendall	STRING	20000	88	17.21	17	3.80402498159595	5.17647058823529	18.6092363595101
Schwann_cells-expression.csv.gz	kendall	STRING	50000	173	50.21	50.5	6.74543616758094	3.42574257425743	18.2034188671353
Schwann_cells-expression.csv.gz	kendall	STRING	1e+05	284	101.3	102	9.36196905818774	2.7843137254902	19.5151253827543
Schwann_cells-expression.csv.gz	kendall	OmniPath	20000	76	8.7	9	2.94563536045582	8.44444444444444	22.8473628825483
Schwann_cells-expression.csv.gz	kendall	OmniPath	50000	149	21.3	21	3.80987552488943	7.09523809523809	33.5181554267986
Schwann_cells-expression.csv.gz	kendall	OmniPath	1e+05	236	40.45	40	6.10741394130978	5.9	32.018461803829
