dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_b_cells	canberra	HIPPIE	20000	1477	219.15	219	12.8514236919141	6.74429223744292	97.8763155082513
Zheng_b_cells	canberra	HIPPIE	50000	1790	450.96	450	19.905290906204	3.97777777777778	67.2705566730831
Zheng_b_cells	canberra	HIPPIE	1e+05	2182	727.28	727.5	24.7374414623059	2.99931271477663	58.8064049476036
Zheng_b_cells	canberra	Reactome	20000	1779	405.45	406	19.779274429809	4.38177339901478	69.4439022459765
Zheng_b_cells	canberra	Reactome	50000	2500	774.54	771	24.8987525548546	3.24254215304799	69.2990540870924
Zheng_b_cells	canberra	Reactome	1e+05	3402	1308.79	1309	32.4688802057937	2.59893048128342	64.4681919035351
Zheng_b_cells	canberra	STRING	20000	609	64.83	64	7.68187556012281	9.515625	70.838169108704
Zheng_b_cells	canberra	STRING	50000	816	166.15	166	12.5024240073918	4.91566265060241	51.9779204109372
Zheng_b_cells	canberra	STRING	1e+05	1058	302.78	304	16.7649104448017	3.48026315789474	45.0476608560811
Zheng_b_cells	canberra	OmniPath	20000	1439	120.55	120.5	10.3771066986103	11.9419087136929	127.05371914279
Zheng_b_cells	canberra	OmniPath	50000	1500	153.16	152	11.289326325733	9.86842105263158	119.302070038493
Zheng_b_cells	canberra	OmniPath	1e+05	1570	194.5	194.5	11.6735910187366	8.0719794344473	117.830065983318
