dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cd14_monocytes	euclidean	HIPPIE	20000	89	64.74	64.5	8.09990647158872	1.37984496124031	2.99509631192589
Zheng_cd14_monocytes	euclidean	HIPPIE	50000	188	133.48	134	11.1087189344063	1.40298507462687	4.90785664142955
Zheng_cd14_monocytes	euclidean	HIPPIE	1e+05	361	262.34	263	16.2761646389294	1.37262357414449	6.06162460190558
Zheng_cd14_monocytes	euclidean	Reactome	20000	135	104.13	104	10.4530262400779	1.29807692307692	2.95321175810708
Zheng_cd14_monocytes	euclidean	Reactome	50000	343	233.85	234	16.3196448515526	1.46581196581197	6.68825829194535
Zheng_cd14_monocytes	euclidean	Reactome	1e+05	674	451.4	452.5	19.9969694673665	1.48950276243094	11.1316867469976
Zheng_cd14_monocytes	euclidean	STRING	20000	32	24.75	24.5	4.45034330760623	1.30612244897959	1.62908780264408
Zheng_cd14_monocytes	euclidean	STRING	50000	69	50.09	50	6.09701864550506	1.38	3.10151585544865
Zheng_cd14_monocytes	euclidean	STRING	1e+05	150	91.04	91	9.401181958787	1.64835164835165	6.27155183874426
Zheng_cd14_monocytes	euclidean	OmniPath	20000	19	15.23	15	4.22559540960284	1.26666666666667	0.892181961252732
Zheng_cd14_monocytes	euclidean	OmniPath	50000	37	26.3	26	5.55505048209158	1.42307692307692	1.92617511478874
Zheng_cd14_monocytes	euclidean	OmniPath	1e+05	59	42.4	42.5	6.67877687949377	1.38823529411765	2.48548503708335
