dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cd14_monocytes	manhattan	HIPPIE	20000	110	70.73	71	7.79776580278938	1.54929577464789	5.03605789057585
Zheng_cd14_monocytes	manhattan	HIPPIE	50000	210	143.65	144	12.8789037427943	1.45833333333333	5.15183600445205
Zheng_cd14_monocytes	manhattan	HIPPIE	1e+05	378	262.15	261	15.2966458329064	1.44827586206897	7.57355574976975
Zheng_cd14_monocytes	manhattan	Reactome	20000	145	93.35	94	9.69783376832062	1.54255319148936	5.32593167029963
Zheng_cd14_monocytes	manhattan	Reactome	50000	339	228.44	226.5	15.1252815317316	1.49668874172185	7.30961600734863
Zheng_cd14_monocytes	manhattan	Reactome	1e+05	683	453.55	453	20.5742680319496	1.50772626931567	11.152280102684
Zheng_cd14_monocytes	manhattan	STRING	20000	29	22.96	23	4.6010978048832	1.26086956521739	1.31273019095349
Zheng_cd14_monocytes	manhattan	STRING	50000	69	53.8	53	7.18865548463464	1.30188679245283	2.11444268437807
Zheng_cd14_monocytes	manhattan	STRING	1e+05	152	101.41	100.5	8.53879441730565	1.51243781094527	5.92472397478839
Zheng_cd14_monocytes	manhattan	OmniPath	20000	17	12.44	12	3.94231127409013	1.41666666666667	1.15668187592631
Zheng_cd14_monocytes	manhattan	OmniPath	50000	36	26.25	26	5.34161289151772	1.38461538461538	1.82529138633064
Zheng_cd14_monocytes	manhattan	OmniPath	1e+05	58	41.56	42	6.20250845312694	1.38095238095238	2.65054052311882
