dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cd34	cosine	HIPPIE	20000	1621	337.67	339	16.6357622566141	4.78171091445428	77.1428432436134
Zheng_cd34	cosine	HIPPIE	50000	1994	661.63	662.5	22.99435811347	3.00981132075472	57.9433439031073
Zheng_cd34	cosine	HIPPIE	1e+05	2504	1119.32	1120	29.7463621407066	2.23571428571429	46.5495576719658
Zheng_cd34	cosine	Reactome	20000	2261	449.66	449	20.7769394310426	5.03563474387528	87.180309015759
Zheng_cd34	cosine	Reactome	50000	3418	953.07	953.5	25.4698296465097	3.58468799160986	96.7784250703769
Zheng_cd34	cosine	Reactome	1e+05	4674	1623.16	1623	31.3773771685875	2.87985212569316	97.2305614840954
Zheng_cd34	cosine	STRING	20000	672	70.02	69	7.98733846519451	9.73913043478261	75.3667823923048
Zheng_cd34	cosine	STRING	50000	890	164.15	165	11.8682795975685	5.39393939393939	61.1588220544373
Zheng_cd34	cosine	STRING	1e+05	1122	289.9	289.5	15.9712494214075	3.87564766839378	52.0998688358516
Zheng_cd34	cosine	OmniPath	20000	1471	139.24	140	10.9932210516713	10.5071428571429	121.143747927959
Zheng_cd34	cosine	OmniPath	50000	1510	204.11	204	12.1288494878529	7.40196078431373	107.668085197022
Zheng_cd34	cosine	OmniPath	1e+05	1549	291.36	292.5	15.7258842149952	5.2957264957265	79.9726096673659
