dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cd34	manhattan	HIPPIE	20000	31	26.66	26	5.11330212151195	1.19230769230769	0.848766588960464
Zheng_cd34	manhattan	HIPPIE	50000	62	67.42	67	8.52705735120311	0.925373134328358	-0.635623730059148
Zheng_cd34	manhattan	HIPPIE	1e+05	138	138.59	137.5	12.3518247946437	1.00363636363636	-0.0477662215752811
Zheng_cd34	manhattan	Reactome	20000	63	49.43	49	6.72588096441461	1.28571428571429	2.01757956642355
Zheng_cd34	manhattan	Reactome	50000	159	125.13	125	10.6625512894429	1.272	3.17653806116132
Zheng_cd34	manhattan	Reactome	1e+05	316	243.2	245.5	15.5362073033845	1.28716904276986	4.68582830921295
Zheng_cd34	manhattan	STRING	20000	35	21.52	21	4.63077103774743	1.66666666666667	2.91096231925929
Zheng_cd34	manhattan	STRING	50000	74	52.75	52.5	6.9549415613082	1.40952380952381	3.05538153163187
Zheng_cd34	manhattan	STRING	1e+05	165	116.84	118	10.159058255885	1.39830508474576	4.74059689264029
Zheng_cd34	manhattan	OmniPath	20000	8	3.9	4	1.99240983979124	2	2.05780955208974
Zheng_cd34	manhattan	OmniPath	50000	18	9.68	9.5	3.44034294743411	1.89473684210526	2.41836355477446
Zheng_cd34	manhattan	OmniPath	1e+05	35	20.99	21	4.51371646912346	1.66666666666667	3.1038724066602
