dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cd34	pearson	HIPPIE	20000	1627	362.33	362.5	16.434783880907	4.48827586206897	76.9508141490817
Zheng_cd34	pearson	HIPPIE	50000	2055	683.22	683	23.2590071615582	3.00878477306003	58.9784417912403
Zheng_cd34	pearson	HIPPIE	1e+05	2573	1165.51	1164.5	28.6714213815849	2.20953198797767	49.0903461418206
Zheng_cd34	pearson	Reactome	20000	2261	432.02	432	20.3181662260126	5.2337962962963	90.0169818306942
Zheng_cd34	pearson	Reactome	50000	3397	903.16	904	23.7485650815864	3.75774336283186	105.010133935781
Zheng_cd34	pearson	Reactome	1e+05	4863	1551.6	1552.5	32.7700898362941	3.13236714975845	101.049463597518
Zheng_cd34	pearson	STRING	20000	709	75.69	75	7.95656770831303	9.45333333333333	79.5958789288397
Zheng_cd34	pearson	STRING	50000	920	161.07	160.5	11.4391274301686	5.73208722741433	66.345095343414
Zheng_cd34	pearson	STRING	1e+05	1183	296.46	297.5	17.1555097607595	3.97647058823529	51.6766923491728
Zheng_cd34	pearson	OmniPath	20000	1474	140.61	140	10.8840491202734	10.5285714285714	122.508634908338
Zheng_cd34	pearson	OmniPath	50000	1508	202.86	201	12.9232544295354	7.50248756218905	100.991589008507
Zheng_cd34	pearson	OmniPath	1e+05	1552	290.2	290	15.9101009780363	5.35172413793103	79.3081075815858
