dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cd4_t_helper	canberra	HIPPIE	20000	1421	237.13	238	13.5822633897255	5.97058823529412	87.1629393445243
Zheng_cd4_t_helper	canberra	HIPPIE	50000	1823	485.31	485	18.7005617589689	3.75876288659794	71.5320757334167
Zheng_cd4_t_helper	canberra	HIPPIE	1e+05	2253	798.83	798.5	23.9220345575734	2.82154038822793	60.7878897800366
Zheng_cd4_t_helper	canberra	Reactome	20000	1719	419.7	419	17.6603762385995	4.10262529832936	73.5714790243358
Zheng_cd4_t_helper	canberra	Reactome	50000	2529	842.28	840.5	24.6986197626875	3.00892325996431	68.2920752741069
Zheng_cd4_t_helper	canberra	Reactome	1e+05	3491	1433.72	1434.5	31.4957364438651	2.4336005576856	65.3193172246247
Zheng_cd4_t_helper	canberra	STRING	20000	609	81.61	81	8.53145694332202	7.51851851851852	61.8171085552759
Zheng_cd4_t_helper	canberra	STRING	50000	870	208.93	206.5	14.5991939724926	4.21307506053269	45.2812669826546
Zheng_cd4_t_helper	canberra	STRING	1e+05	1073	336.94	335	19.6503887436808	3.20298507462687	37.4577831309674
Zheng_cd4_t_helper	canberra	OmniPath	20000	1369	117.63	117.5	10.0901542169192	11.6510638297872	124.018917163991
Zheng_cd4_t_helper	canberra	OmniPath	50000	1498	158.8	159	10.6751859918034	9.42138364779874	125.449804905344
Zheng_cd4_t_helper	canberra	OmniPath	1e+05	1600	207.67	209	11.4794986340384	7.6555023923445	121.288398072677
