dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cd4_t_helper	spearman	HIPPIE	20000	1585	292.26	292	14.3608755817585	5.42808219178082	90.0181881418196
Zheng_cd4_t_helper	spearman	HIPPIE	50000	1939	606.75	605.5	23.2458859181837	3.20231213872832	57.311216474562
Zheng_cd4_t_helper	spearman	HIPPIE	1e+05	2396	1064.7	1063	30.0428986214007	2.25399811853246	44.3133006830328
Zheng_cd4_t_helper	spearman	Reactome	20000	2081	501.83	499	20.8999806679143	4.17034068136273	75.5584430958037
Zheng_cd4_t_helper	spearman	Reactome	50000	3009	1036.08	1035	30.2964077611905	2.90724637681159	65.120591706826
Zheng_cd4_t_helper	spearman	Reactome	1e+05	4267	1821.97	1825	36.1703196032606	2.33808219178082	67.5976885694864
Zheng_cd4_t_helper	spearman	STRING	20000	674	87.17	87	9.30629742256133	7.74712643678161	63.0573012396255
Zheng_cd4_t_helper	spearman	STRING	50000	868	203.11	204	13.5093645036667	4.25490196078431	49.2169709255781
Zheng_cd4_t_helper	spearman	STRING	1e+05	1080	345.11	344	17.1068507748897	3.13953488372093	42.9588127978944
Zheng_cd4_t_helper	spearman	OmniPath	20000	1472	148.3	149	10.3587175993474	9.87919463087248	127.786088123822
Zheng_cd4_t_helper	spearman	OmniPath	50000	1510	233.37	233	13.4056033814298	6.48068669527897	95.2310734307163
Zheng_cd4_t_helper	spearman	OmniPath	1e+05	1569	346.81	346	15.2499014734357	4.53468208092486	80.1441243491951
