dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cd56_nk	bicor	HIPPIE	20000	1490	240.98	241	15.1190427787428	6.18257261410788	82.6123729047257
Zheng_cd56_nk	bicor	HIPPIE	50000	1837	508.18	509.5	19.4818641382962	3.60549558390579	68.20805188698
Zheng_cd56_nk	bicor	HIPPIE	1e+05	2321	912.72	909	25.301447237722	2.55335533553355	55.66005718046
Zheng_cd56_nk	bicor	Reactome	20000	2088	521.45	523	20.5968395143478	3.99235181644359	76.0577854145409
Zheng_cd56_nk	bicor	Reactome	50000	3146	1096.73	1100	29.3022752245168	2.86	69.9355249480901
Zheng_cd56_nk	bicor	Reactome	1e+05	4541	1879.15	1882	35.692959722295	2.41285866099894	74.5763315990105
Zheng_cd56_nk	bicor	STRING	20000	686	76.73	76.5	8.77997607046738	8.96732026143791	69.3931276247279
Zheng_cd56_nk	bicor	STRING	50000	882	182.29	182	12.618164716316	4.84615384615385	55.4525967706887
Zheng_cd56_nk	bicor	STRING	1e+05	1173	327.37	329.5	18.1807173909196	3.55993930197269	46.5124660274602
Zheng_cd56_nk	bicor	OmniPath	20000	1473	136.61	137	10.4348822550505	10.7518248175182	128.069485341168
Zheng_cd56_nk	bicor	OmniPath	50000	1512	209.33	208	12.2375931812055	7.26923076923077	106.44821908287
Zheng_cd56_nk	bicor	OmniPath	1e+05	1575	305.48	305.5	15.0604707023976	5.15548281505728	84.2948421125969
