dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cd56_nk	spearman	HIPPIE	20000	1488	240.14	239.5	14.6563462311889	6.21294363256785	85.141274661248
Zheng_cd56_nk	spearman	HIPPIE	50000	1813	506.27	504.5	20.7723860016614	3.59365708622398	62.9070728752818
Zheng_cd56_nk	spearman	HIPPIE	1e+05	2243	899.24	898.5	27.6778436714826	2.49638286032276	48.5500249206379
Zheng_cd56_nk	spearman	Reactome	20000	2098	517.1	516	21.5291674364117	4.06589147286822	73.4306147541156
Zheng_cd56_nk	spearman	Reactome	50000	3075	1091.97	1094	30.4993641265062	2.81078610603291	65.0187325799557
Zheng_cd56_nk	spearman	Reactome	1e+05	4470	1898.52	1902	35.0838764083786	2.35015772870662	73.2952074641869
Zheng_cd56_nk	spearman	STRING	20000	679	75.85	76	9.02451767087412	8.93421052631579	66.8345968169154
Zheng_cd56_nk	spearman	STRING	50000	851	177.02	176	13.0716595284716	4.83522727272727	51.560400462695
Zheng_cd56_nk	spearman	STRING	1e+05	1099	315.71	316	16.3752060670202	3.47784810126582	47.8339018632294
Zheng_cd56_nk	spearman	OmniPath	20000	1475	139.09	139.5	10.6837883418445	10.573476702509	125.040852294661
Zheng_cd56_nk	spearman	OmniPath	50000	1504	212.86	212	11.8244909344371	7.09433962264151	109.192015720503
Zheng_cd56_nk	spearman	OmniPath	1e+05	1550	314.41	316	14.4872601643895	4.90506329113924	85.2880383163926
