dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cd56_nk	weighted_rank	HIPPIE	20000	1479	235.57	236	14.9411336500105	6.26694915254237	83.221931422796
Zheng_cd56_nk	weighted_rank	HIPPIE	50000	1801	501.69	502.5	20.36817432301	3.58407960199005	63.7911861610573
Zheng_cd56_nk	weighted_rank	HIPPIE	1e+05	2229	887.85	887	26.1338338696654	2.51296505073281	51.3185323932408
Zheng_cd56_nk	weighted_rank	Reactome	20000	2062	517.38	517	21.0414597949627	3.98839458413926	73.4084048849967
Zheng_cd56_nk	weighted_rank	Reactome	50000	3056	1096.44	1098	30.2355466765244	2.78324225865209	64.809808830791
Zheng_cd56_nk	weighted_rank	Reactome	1e+05	4506	1906.99	1904	35.9647681134544	2.36659663865546	72.265445777411
Zheng_cd56_nk	weighted_rank	STRING	20000	674	72.17	72	8.89564074378143	9.36111111111111	67.6544857570506
Zheng_cd56_nk	weighted_rank	STRING	50000	850	173.01	174.5	12.8680129614388	4.87106017191977	52.6102982666178
Zheng_cd56_nk	weighted_rank	STRING	1e+05	1111	311.5	311	17.3825060089596	3.57234726688103	45.9945188333552
Zheng_cd56_nk	weighted_rank	OmniPath	20000	1473	137.58	136	10.356455069963	10.8308823529412	128.945666348049
Zheng_cd56_nk	weighted_rank	OmniPath	50000	1505	212.63	213	11.6338542906711	7.06572769953052	111.087002442202
Zheng_cd56_nk	weighted_rank	OmniPath	1e+05	1554	311.35	313	14.3346546254984	4.96485623003195	86.68852040492
