dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_cytotoxic_t	rho_p	HIPPIE	20000	1104	99.44	98.5	9.36932454471732	11.2081218274112	107.217974487435
Zheng_cytotoxic_t	rho_p	HIPPIE	50000	1281	154.79	154	11.2315347899285	8.31818181818182	100.272137429507
Zheng_cytotoxic_t	rho_p	HIPPIE	1e+05	1502	250.65	251	14.0478079817069	5.98406374501992	89.0779544843942
Zheng_cytotoxic_t	rho_p	Reactome	20000	1062	135.22	136	12.3112660895325	7.80882352941176	75.279016249026
Zheng_cytotoxic_t	rho_p	Reactome	50000	1338	220.18	221	15.3697722491226	6.05429864253394	72.7284687034847
Zheng_cytotoxic_t	rho_p	Reactome	1e+05	1619	357.65	359	17.0468012935986	4.50974930362117	73.9933538424984
Zheng_cytotoxic_t	rho_p	STRING	20000	416	17.17	17	4.61454660871904	24.4705882352941	86.4288593913914
Zheng_cytotoxic_t	rho_p	STRING	50000	505	37.2	37	6	13.6486486486486	77.9666666666667
Zheng_cytotoxic_t	rho_p	STRING	1e+05	592	71.62	71	8.67689373269518	8.33802816901408	59.9730751615834
Zheng_cytotoxic_t	rho_p	OmniPath	20000	1272	77.01	76.5	8.48348960980067	16.6274509803922	140.860666419568
Zheng_cytotoxic_t	rho_p	OmniPath	50000	1379	89.76	88.5	9.28354686659374	15.5819209039548	138.873645873351
Zheng_cytotoxic_t	rho_p	OmniPath	1e+05	1438	102.36	103	9.86117783445914	13.9611650485437	135.444266640513
