dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_memory_t	cosine	HIPPIE	20000	1566	261.01	262	14.607660229268	5.97709923664122	89.3360045016187
Zheng_memory_t	cosine	HIPPIE	50000	1903	564.72	563	20.7106472397873	3.38010657193606	64.6179708680966
Zheng_memory_t	cosine	HIPPIE	1e+05	2329	967.04	966.5	30.1249653170512	2.40972581479565	45.2103425071534
Zheng_memory_t	cosine	Reactome	20000	2101	485	483	21.2968437932844	4.34989648033126	75.879788370781
Zheng_memory_t	cosine	Reactome	50000	2925	969.36	971.5	27.6454902527181	3.01080802882141	70.739928361651
Zheng_memory_t	cosine	Reactome	1e+05	4230	1727.44	1730.5	35.8493818889278	2.44438023692574	69.8076192151287
Zheng_memory_t	cosine	STRING	20000	615	69.66	70	8.36928004578939	8.78571428571429	65.1597266451087
Zheng_memory_t	cosine	STRING	50000	811	183.7	184	13.1221918592863	4.40760869565217	47.804513661037
Zheng_memory_t	cosine	STRING	1e+05	1056	321.36	323	17.0676136100931	3.26934984520124	43.0429242647938
Zheng_memory_t	cosine	OmniPath	20000	1464	139.98	140	9.73588592514696	10.4571428571429	135.993787332714
Zheng_memory_t	cosine	OmniPath	50000	1489	222.03	221.5	12.2032078908901	6.72234762979684	103.822700664291
Zheng_memory_t	cosine	OmniPath	1e+05	1550	316.57	318	13.9900794576844	4.87421383647799	88.1646172011201
