dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_memory_t	spearman	HIPPIE	20000	1597	288.22	288	15.4949193367544	5.54513888888889	84.4651057263355
Zheng_memory_t	spearman	HIPPIE	50000	1924	597.15	596	24.0237151350262	3.22818791946309	55.2308413807934
Zheng_memory_t	spearman	HIPPIE	1e+05	2331	1031.98	1034.5	29.8030504845027	2.25326244562591	43.5868133926585
Zheng_memory_t	spearman	Reactome	20000	2133	487.83	487	20.6035473066208	4.37987679671458	79.848871435422
Zheng_memory_t	spearman	Reactome	50000	2944	989.06	990	29.0035943436065	2.97373737373737	67.4033699699341
Zheng_memory_t	spearman	Reactome	1e+05	4258	1774.32	1771	36.1419423938449	2.4042913608131	68.720158228767
Zheng_memory_t	spearman	STRING	20000	654	76.86	77	8.42437540771427	8.49350649350649	68.5083430008957
Zheng_memory_t	spearman	STRING	50000	826	177.22	176.5	12.7045525921087	4.67988668555241	51.0667333852419
Zheng_memory_t	spearman	STRING	1e+05	1040	316.18	315	18.4074973746015	3.3015873015873	39.3220210911844
Zheng_memory_t	spearman	OmniPath	20000	1469	147.88	148	11.3487239526537	9.92567567567568	116.411325670767
Zheng_memory_t	spearman	OmniPath	50000	1500	228.54	227.5	13.1390542838801	6.59340659340659	96.7695218034008
Zheng_memory_t	spearman	OmniPath	1e+05	1552	333.65	335	15.6620721825212	4.63283582089552	77.789834308111
