dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_naive_cytotoxic	euclidean	HIPPIE	20000	44	27.86	28	5.44952968038286	1.57142857142857	2.96172347828484
Zheng_naive_cytotoxic	euclidean	HIPPIE	50000	124	81.25	81	9.3909208248922	1.53086419753086	4.55226923931506
Zheng_naive_cytotoxic	euclidean	HIPPIE	1e+05	276	173.03	172.5	11.9387790181595	1.6	8.62483507261318
Zheng_naive_cytotoxic	euclidean	Reactome	20000	52	35.94	35.5	5.79588847652569	1.46478873239437	2.77092978324992
Zheng_naive_cytotoxic	euclidean	Reactome	50000	136	103.77	102.5	8.7442390847756	1.32682926829268	3.68585530284904
Zheng_naive_cytotoxic	euclidean	Reactome	1e+05	333	232.3	231	12.6646728893383	1.44155844155844	7.95125155461174
Zheng_naive_cytotoxic	euclidean	STRING	20000	25	10.46	10	3.20800765761448	2.5	4.53240813359285
Zheng_naive_cytotoxic	euclidean	STRING	50000	57	33.62	34.5	5.82190221959674	1.65217391304348	4.01586957632199
Zheng_naive_cytotoxic	euclidean	STRING	1e+05	115	68.33	67.5	8.79859378112506	1.7037037037037	5.30425669839623
Zheng_naive_cytotoxic	euclidean	OmniPath	20000	4	4.69	5	1.75634491907127	0.8	-0.39286132951884
Zheng_naive_cytotoxic	euclidean	OmniPath	50000	15	11.43	11.5	3.42378784861493	1.30434782608696	1.04270479300995
Zheng_naive_cytotoxic	euclidean	OmniPath	1e+05	29	23.87	23.5	4.80247200655427	1.23404255319149	1.06819987560547
