dataset	coefficient	network	cutoff	obs	rnd_mean	rnd_median	rnd_sd	enrichment	z_score
Zheng_naive_cytotoxic	phi_s	HIPPIE	20000	458	55.82	55	7.48922458259097	8.32727272727273	53.7011536461178
Zheng_naive_cytotoxic	phi_s	HIPPIE	50000	733	115.1	114.5	9.89898474541198	6.40174672489083	62.4205427012489
Zheng_naive_cytotoxic	phi_s	HIPPIE	1e+05	1045	214.84	216	12.7173785495171	4.83796296296296	65.2776039313168
Zheng_naive_cytotoxic	phi_s	Reactome	20000	389	65.63	66	7.08912241152998	5.89393939393939	45.6149550294209
Zheng_naive_cytotoxic	phi_s	Reactome	50000	630	144.87	144	11.4773866380986	4.375	42.2683329661158
Zheng_naive_cytotoxic	phi_s	Reactome	1e+05	991	285.88	285	15.8581336871778	3.47719298245614	44.4642486883642
Zheng_naive_cytotoxic	phi_s	STRING	20000	186	12.44	12	3.67992094776752	15.5	47.1640566369484
Zheng_naive_cytotoxic	phi_s	STRING	50000	296	30.38	29	5.78011219352159	10.2068965517241	45.9541253018773
Zheng_naive_cytotoxic	phi_s	STRING	1e+05	411	61.6	61.5	8.21430139906903	6.68292682926829	42.535570954287
Zheng_naive_cytotoxic	phi_s	OmniPath	20000	576	32.37	32	5.22359642353423	18	104.071975689153
Zheng_naive_cytotoxic	phi_s	OmniPath	50000	804	51.22	50.5	6.88370935945545	15.9207920792079	109.356737870692
Zheng_naive_cytotoxic	phi_s	OmniPath	1e+05	1006	72.83	72.5	8.01016399786716	13.8758620689655	116.498239018386
